dull-blue:2+dotted-green,1+dull-brown,3+striped-tomato,5+muted-blue
mirrored-fuchsia:1+shiny-yellow,3+dim-purple,5+muted-cyan,0+-
bright-violet:5+dotted-crimson,2+dull-olive,4+pale-salmon,1+dim-indigo
mirrored-magenta:1+light-indigo,3+bright-plum,1+faded-coral,3+posh-blue
light-green:1+dark-lavender,0+-,0+-,0+-
shiny-plum:0+-,0+-,0+-,0+-
posh-magenta:4+plaid-bronze,0+-,0+-,0+-
faded-olive:4+light-indigo,0+-,0+-,0+-
vibrant-plum:3+posh-yellow,4+pale-yellow,4+plaid-lime,0+-
posh-yellow:1+shiny-plum,1+light-chartreuse,0+-,0+-
clear-black:1+muted-plum,4+dull-olive,0+-,0+-
striped-tan:2+bright-lavender,2+clear-beige,0+-,0+-
dotted-yellow:3+dull-blue,1+dim-beige,2+faded-coral,4+plaid-yellow
muted-black:4+mirrored-plum,0+-,0+-,0+-
plaid-turquoise:5+shiny-olive,1+striped-yellow,0+-,0+-
striped-purple:4+striped-tomato,3+plaid-silver,0+-,0+-
light-yellow:5+light-salmon,4+mirrored-tomato,0+-,0+-
wavy-bronze:4+pale-turquoise,1+striped-olive,4+dotted-lime,0+-
bright-gold:2+shiny-gray,3+dark-green,1+pale-chartreuse,3+dull-aqua
dull-beige:5+vibrant-salmon,0+-,0+-,0+-
muted-turquoise:4+wavy-olive,3+faded-coral,0+-,0+-
dotted-fuchsia:5+mirrored-salmon,2+muted-plum,3+plaid-brown,5+mirrored-black
posh-turquoise:1+vibrant-lime,3+dim-orange,0+-,0+-
plaid-indigo:1+faded-blue,4+bright-teal,4+clear-green,0+-
mirrored-lime:5+posh-magenta,2+mirrored-lavender,5+dull-bronze,2+dim-cyan
dull-magenta:1+light-bronze,2+dark-tan,4+bright-salmon,4+drab-aqua
shiny-crimson:2+bright-plum,1+faded-bronze,2+striped-purple,2+dull-blue
vibrant-crimson:4+bright-plum,1+vibrant-orange,0+-,0+-
muted-red:5+clear-beige,2+striped-crimson,1+light-orange,2+striped-turquoise
light-purple:4+wavy-tomato,2+mirrored-orange,3+dim-beige,5+striped-tan
vibrant-indigo:3+clear-gold,5+shiny-black,0+-,0+-
drab-turquoise:2+dull-maroon,1+pale-salmon,0+-,0+-
dotted-tan:2+pale-silver,0+-,0+-,0+-
faded-purple:1+posh-green,1+posh-black,2+wavy-lavender,0+-
dull-lime:3+dull-gray,4+light-orange,0+-,0+-
dotted-blue:4+dark-plum,4+light-salmon,3+dim-white,0+-
wavy-violet:5+wavy-plum,1+light-fuchsia,4+pale-salmon,2+drab-fuchsia
shiny-magenta:3+wavy-indigo,5+drab-salmon,4+dull-beige,3+faded-beige
dull-silver:1+mirrored-turquoise,5+dim-white,0+-,0+-
dark-purple:1+plaid-chartreuse,4+posh-black,2+dark-violet,4+posh-gray
bright-turquoise:4+dim-bronze,4+wavy-plum,4+drab-salmon,0+-
dark-chartreuse:1+light-orange,0+-,0+-,0+-
shiny-fuchsia:3+shiny-bronze,5+shiny-gold,3+pale-lavender,0+-
wavy-silver:1+muted-orange,5+faded-turquoise,0+-,0+-
vibrant-salmon:2+dim-beige,2+posh-magenta,0+-,0+-
dim-beige:5+dim-purple,4+plaid-blue,3+dull-maroon,1+shiny-olive
muted-cyan:3+clear-gray,0+-,0+-,0+-
plaid-silver:0+-,0+-,0+-,0+-
dotted-white:1+dim-purple,2+dull-gold,0+-,0+-
pale-orange:3+clear-aqua,0+-,0+-,0+-
dull-white:5+light-green,3+posh-fuchsia,0+-,0+-
shiny-red:4+drab-bronze,2+striped-yellow,1+shiny-olive,2+striped-lavender
pale-blue:4+pale-magenta,0+-,0+-,0+-
light-fuchsia:2+dotted-turquoise,5+striped-crimson,0+-,0+-
light-maroon:5+dotted-maroon,3+posh-blue,5+faded-gray,0+-
dull-purple:4+posh-teal,2+vibrant-plum,3+vibrant-gray,0+-
pale-indigo:5+plaid-fuchsia,3+dull-violet,1+posh-maroon,5+muted-silver
dull-violet:4+muted-gray,5+posh-indigo,2+bright-violet,0+-
pale-turquoise:3+vibrant-brown,0+-,0+-,0+-
mirrored-brown:1+dotted-magenta,2+striped-lavender,0+-,0+-
dotted-black:4+dull-lime,5+posh-white,1+plaid-plum,2+bright-lime
mirrored-white:3+faded-brown,3+shiny-gray,1+striped-plum,0+-
dotted-gray:2+shiny-lavender,1+light-white,2+vibrant-salmon,0+-
vibrant-gray:2+posh-silver,3+muted-silver,2+muted-gray,1+pale-white
striped-blue:1+dim-silver,0+-,0+-,0+-
muted-bronze:1+dim-lavender,3+striped-bronze,0+-,0+-
wavy-orange:4+light-bronze,0+-,0+-,0+-
faded-salmon:1+clear-turquoise,5+plaid-violet,5+plaid-blue,3+wavy-green
vibrant-green:1+striped-beige,4+bright-green,1+shiny-salmon,0+-
posh-lavender:1+dotted-violet,4+dim-white,5+faded-lavender,0+-
pale-magenta:1+muted-red,0+-,0+-,0+-
light-salmon:1+mirrored-tomato,0+-,0+-,0+-
shiny-teal:5+dull-fuchsia,0+-,0+-,0+-
muted-chartreuse:3+dull-beige,2+striped-magenta,3+clear-beige,4+plaid-plum
dull-olive:5+light-chartreuse,3+muted-cyan,2+dull-brown,1+muted-gray
shiny-tan:1+drab-plum,1+vibrant-aqua,5+striped-bronze,0+-
dim-tomato:1+vibrant-lavender,5+light-cyan,5+dull-indigo,3+vibrant-chartreuse
drab-gold:3+muted-olive,3+plaid-purple,0+-,0+-
clear-red:5+vibrant-white,0+-,0+-,0+-
mirrored-tomato:1+dim-purple,5+posh-fuchsia,3+striped-turquoise,2+posh-gray
faded-crimson:4+dark-olive,3+dull-bronze,4+faded-blue,4+wavy-chartreuse
faded-indigo:4+vibrant-lavender,0+-,0+-,0+-
pale-plum:1+posh-lavender,2+dotted-gold,1+bright-magenta,4+dull-gray
plaid-plum:2+posh-fuchsia,5+bright-lime,2+vibrant-gold,2+muted-gray
bright-tan:3+dotted-magenta,0+-,0+-,0+-
vibrant-turquoise:3+wavy-green,4+striped-tomato,1+striped-magenta,0+-
wavy-salmon:4+vibrant-lavender,4+clear-turquoise,5+striped-magenta,0+-
dark-gray:3+striped-blue,0+-,0+-,0+-
posh-gold:2+pale-purple,0+-,0+-,0+-
muted-coral:2+mirrored-brown,1+muted-blue,0+-,0+-
dark-turquoise:3+dark-olive,5+faded-indigo,0+-,0+-
faded-tomato:2+wavy-brown,4+drab-silver,1+dotted-turquoise,0+-
clear-teal:1+striped-tan,2+clear-aqua,4+dark-purple,0+-
plaid-purple:5+vibrant-tan,1+muted-coral,0+-,0+-
faded-red:4+striped-salmon,4+pale-lime,3+posh-bronze,0+-
mirrored-cyan:5+plaid-maroon,2+light-fuchsia,1+striped-white,1+dotted-green
dull-yellow:3+light-orange,0+-,0+-,0+-
vibrant-tan:3+plaid-plum,5+light-orange,2+dotted-orange,5+vibrant-lime
dim-white:4+posh-indigo,4+dark-aqua,1+drab-lavender,0+-
drab-silver:5+posh-indigo,2+striped-crimson,1+striped-yellow,2+shiny-olive
mirrored-red:5+plaid-maroon,3+shiny-beige,1+mirrored-bronze,0+-
dull-maroon:0+-,0+-,0+-,0+-
shiny-tomato:4+muted-maroon,3+dotted-lime,3+faded-green,1+wavy-plum
dotted-brown:1+mirrored-coral,2+dotted-coral,4+vibrant-aqua,0+-
drab-coral:5+vibrant-black,5+mirrored-tomato,4+wavy-gray,3+drab-orange
dull-indigo:2+plaid-blue,2+striped-crimson,1+dull-brown,0+-
dull-red:5+drab-fuchsia,2+posh-gray,3+shiny-brown,1+plaid-violet
pale-silver:5+plaid-beige,3+dim-cyan,3+light-tan,3+faded-bronze
wavy-blue:4+drab-gray,4+mirrored-olive,0+-,0+-
clear-salmon:2+light-brown,2+bright-yellow,5+light-blue,3+faded-bronze
drab-brown:2+mirrored-chartreuse,4+bright-tomato,0+-,0+-
dotted-purple:2+dotted-yellow,4+vibrant-white,0+-,0+-
dark-yellow:2+faded-coral,1+muted-red,0+-,0+-
shiny-turquoise:3+pale-coral,0+-,0+-,0+-
vibrant-silver:0+-,0+-,0+-,0+-
shiny-silver:2+dim-gold,1+dim-silver,0+-,0+-
clear-beige:4+striped-crimson,0+-,0+-,0+-
bright-lime:4+light-cyan,2+wavy-plum,2+light-green,0+-
vibrant-yellow:5+dark-salmon,5+dull-green,3+light-silver,0+-
dotted-beige:1+wavy-brown,1+dull-violet,4+dull-beige,1+dull-crimson
dim-coral:2+vibrant-olive,0+-,0+-,0+-
faded-bronze:4+dull-maroon,4+posh-indigo,3+drab-white,5+dotted-magenta
light-lime:4+mirrored-violet,5+posh-turquoise,1+mirrored-tomato,0+-
clear-orange:3+bright-cyan,2+light-blue,2+dull-indigo,0+-
dim-crimson:2+dark-white,5+dotted-yellow,4+clear-tomato,2+drab-purple
dark-bronze:3+drab-magenta,3+clear-aqua,0+-,0+-
wavy-teal:1+pale-violet,1+muted-lavender,2+dull-brown,4+mirrored-purple
dim-silver:5+faded-gold,4+faded-purple,3+dim-beige,2+faded-gray
plaid-chartreuse:4+striped-lavender,3+muted-plum,1+dim-beige,0+-
bright-coral:4+dotted-orange,5+dotted-gold,1+mirrored-salmon,4+dark-tan
striped-indigo:2+striped-yellow,1+dark-aqua,1+dull-silver,0+-
shiny-beige:4+dark-green,1+muted-gray,0+-,0+-
drab-salmon:1+clear-purple,5+light-cyan,4+dim-purple,0+-
posh-salmon:3+dotted-tomato,5+wavy-salmon,1+striped-lime,0+-
clear-maroon:3+muted-red,2+light-bronze,5+dark-chartreuse,0+-
clear-purple:1+plaid-coral,2+dim-lime,4+dull-aqua,0+-
clear-cyan:3+drab-beige,3+vibrant-tan,3+bright-lime,4+dim-salmon
plaid-crimson:5+dark-coral,1+vibrant-lime,5+dotted-beige,0+-
striped-chartreuse:2+vibrant-white,1+shiny-bronze,3+light-olive,0+-
clear-blue:2+dim-cyan,1+bright-lavender,2+posh-green,0+-
striped-olive:2+light-plum,2+dark-red,0+-,0+-
plaid-red:2+vibrant-violet,4+dotted-orange,1+dark-aqua,5+dim-green
mirrored-orange:1+plaid-turquoise,3+pale-chartreuse,0+-,0+-
wavy-coral:4+clear-maroon,4+mirrored-yellow,3+plaid-bronze,0+-
posh-orange:1+posh-yellow,3+muted-purple,3+striped-turquoise,0+-
light-aqua:2+clear-turquoise,3+posh-black,5+dotted-indigo,4+striped-magenta
plaid-coral:4+wavy-gold,0+-,0+-,0+-
pale-green:2+shiny-tan,3+mirrored-olive,4+light-purple,5+drab-maroon
dull-bronze:4+faded-salmon,2+plaid-violet,1+shiny-salmon,0+-
dull-tomato:5+clear-gray,2+shiny-tan,3+dark-cyan,4+dim-chartreuse
faded-maroon:5+dim-green,1+dull-coral,5+muted-green,0+-
dark-fuchsia:3+clear-silver,0+-,0+-,0+-
striped-yellow:5+plaid-beige,5+drab-bronze,1+muted-cyan,1+plaid-silver
muted-white:3+light-bronze,0+-,0+-,0+-
wavy-tan:2+dim-cyan,4+plaid-lime,0+-,0+-
pale-coral:2+posh-magenta,2+striped-green,2+dotted-bronze,0+-
mirrored-blue:4+light-plum,2+wavy-cyan,0+-,0+-
faded-plum:5+faded-salmon,4+vibrant-violet,0+-,0+-
vibrant-teal:3+drab-plum,0+-,0+-,0+-
dotted-red:2+dim-white,2+mirrored-purple,0+-,0+-
plaid-salmon:2+posh-chartreuse,5+shiny-maroon,1+faded-indigo,0+-
wavy-fuchsia:1+bright-cyan,5+pale-violet,5+muted-maroon,0+-
light-red:4+muted-cyan,5+wavy-lavender,5+muted-blue,0+-
dark-magenta:4+vibrant-green,0+-,0+-,0+-
bright-purple:2+muted-blue,0+-,0+-,0+-
dotted-gold:3+muted-gray,5+mirrored-salmon,0+-,0+-
striped-red:2+wavy-violet,1+dark-aqua,0+-,0+-
light-crimson:4+drab-plum,3+dark-chartreuse,3+dotted-gray,2+clear-white
bright-black:2+shiny-orange,3+wavy-tan,3+shiny-yellow,0+-
striped-silver:4+striped-gray,2+clear-black,5+shiny-cyan,0+-
plaid-blue:2+striped-crimson,1+clear-gray,0+-,0+-
light-gray:1+muted-blue,5+shiny-plum,0+-,0+-
mirrored-gray:2+light-green,0+-,0+-,0+-
vibrant-orange:5+dim-green,0+-,0+-,0+-
posh-bronze:1+posh-white,3+dotted-green,0+-,0+-
faded-orange:3+pale-lime,5+bright-lavender,5+faded-green,1+wavy-gray
faded-lime:5+wavy-salmon,2+dim-white,4+drab-white,0+-
bright-salmon:1+dotted-white,0+-,0+-,0+-
dim-turquoise:5+muted-turquoise,0+-,0+-,0+-
dark-maroon:3+striped-magenta,0+-,0+-,0+-
dim-violet:5+dim-white,4+clear-chartreuse,0+-,0+-
vibrant-violet:5+light-gray,2+wavy-aqua,0+-,0+-
dim-fuchsia:3+vibrant-white,1+pale-beige,0+-,0+-
drab-fuchsia:4+dotted-turquoise,1+dull-crimson,5+plaid-violet,0+-
dim-purple:1+plaid-silver,4+posh-gray,2+plaid-beige,0+-
mirrored-lavender:4+vibrant-lime,1+vibrant-violet,5+mirrored-aqua,4+clear-black
posh-green:0+-,0+-,0+-,0+-
faded-tan:3+faded-fuchsia,4+dull-bronze,0+-,0+-
drab-cyan:4+mirrored-teal,1+light-turquoise,4+faded-blue,5+clear-black
light-chartreuse:5+posh-gray,0+-,0+-,0+-
striped-fuchsia:1+dotted-beige,1+shiny-magenta,4+mirrored-indigo,3+wavy-yellow
light-white:5+muted-purple,4+dark-lavender,1+wavy-violet,3+vibrant-aqua
dotted-lavender:2+vibrant-magenta,3+plaid-turquoise,2+posh-crimson,2+bright-tan
faded-yellow:1+pale-olive,4+plaid-bronze,0+-,0+-
plaid-gold:4+dull-gold,4+drab-crimson,1+shiny-brown,0+-
dark-aqua:4+shiny-gold,1+striped-magenta,4+striped-tomato,0+-
vibrant-gold:4+dull-indigo,0+-,0+-,0+-
